Quest Requirements;Item Requirements;Conversation ID;Dialogue;Repeat Requirements;Triggers
~;~;#meri;Thank heavens you're safe! ;~;~
~;~;#meri;Such a tragedy what happened to those kids last night . . . I'm so sorry for your loss.;~;~
~;~;#meri;It's a miracle that you're alive. How were you able to survive the collapse?;~;~
~;~;#meri;However you did, I'm grateful you're here.;~;~
~;~;#meri;What has this world come to!? To be honest, I was surprised to wake up this morning.;~;~
~;~;#meri;Thankfully, we've been blessed with a second chance. We should all do what we can to move forward. ;~;~
~;~;#meri;I want to use the rest of my days to rebuild this orphanage and bring a better life to as many children as I can.;~;~
~;~;#meri;I'll give them the life that I wanted to give to my kids!;~;~
~;~;#meri_repeat;Until then stay with me at my house, I'll make sure you're taken care of.;~;~
~;~;#meri_backstory;I lost my kids in a house fire many years ago . . . I don't think I'll ever stop thinking about them.;~;~
~;~;#meri_backstory;These are strange times, I'm going to do my best to help out the children in this town to be safe.;~;~
